drugbank_id,name,type,description,indication,atc_codes,categories
DB00090,Laronidase,biotech,"Human recombinant alpha-L-iduronidase, 628 residues (mature form), produced by recombinant DNAtechnology in a Chinese hamster ovary cell line. Laronidase is a glycoprotein with a molecular weight of approximately 83 kD. The predicted amino acid sequence of the recombinant form, as well as the nucleotide sequence that encodes it, are identical to a polymorphic form of human a-L-iduronidase. It contains 6 N-linked oligosaccharide modification sites.",For the treatment of mucopolysaccharidosis,A16AB05,Alimentary Tract and Metabolism|Enzymes|Enzymes and Coenzymes|Glycoside Hydrolases|Hydrolases
DB00091,Cyclosporine,small molecule,"Cyclosporine is a calcineurin inhibitor known for its immunomodulatory properties that prevent organ transplant rejection and treat various inflammatory and autoimmune conditions. It is isolated from the fungus _Beauveria nivea_.[A174049] Initially manufactured by Sandoz and approved for use by the FDA in 1983, cyclosporine is now available in various products by Novartis (previously known as Sandoz).[L11097,L3734,L11118]","Cyclosporine is approved for a variety of conditions. Firstly, it is approved for the prophylaxis of organ rejection in allogeneic kidney, liver, and heart transplants. It is also used to prevent bone marrow transplant rejection. For the above indications, cyclosporine can be used in conjunction with azathioprine and corticosteroids. Finally, cyclosporine can be used in patients who have chronic transplant rejection and have received previous immunosuppressive therapy[L3002] and to prevent or tr",L04AD01|S01XA18,Agents causing hyperkalemia|Agents Causing Muscle Toxicity|Agents that produce hypertension|Agents that produce neuromuscular block (indirect)|Agents that reduce seizure threshold
DB00092,Alefacept,biotech,"Immunosuppressive dimeric fusion protein that consists of the extracellular CD2-binding portion of the human leukocyte function antigen-3 (LFA-3) linked to the Fc (hinge, CH2 and CH3 domains) portion of human IgG1. Produced by CHO cells, mW is 91.4 kD.","As an immunosuppressive drug, Alefacept can be used for treatment of moderate to severe chronic plaque psoriasis",L04AA15,"Amino Acids, Peptides, and Proteins|Antibodies|Antineoplastic and Immunomodulating Agents|Blood Proteins|Carbohydrates"
DB00093,Felypressin,biotech,"A synthetic nonapeptide comprising cysteinyl, phenylalanyl, phenylalanyl, glutaminyl, asparaginyl, cysteinyl, prolyl, lysyl, and glycinamide residues in sequence, with a disulfide bridge joining the two cysteine residues. Its antidiuretic effects are less than those of vasopressin. It is a non-catecholamine vasoconstrictor used in local anaesthetic injections for dental use, and is an ingredient of preparations that have been used for treatment of pain and inflammation of the mouth.","For use as an alternative to adrenaline as a localising agent, provided that local ischaemia is not essential.",,"Amino Acids, Peptides, and Proteins|Cardiovascular Agents|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Nerve Tissue Proteins"
DB00094,Urofollitropin,biotech,"Urofollitropin is a urinary-derived follicle-stimulating hormone (FSH) that is extracted and purified from human urine samples. It consists of two non-covalently linked, non-identical glycoproteins designated as the alpha- and beta- subunits. The alpha- and beta- subunits have 92 and 111 amino acids. The alpha subunit is glycosylated at Asn 51 and Asn 78 while the beta subunit is glycosylated at Asn 7 and Asn 24. Urofollitropin is typically used injected subcutaneously in combination with human ",For treatment of female infertility,G03GA04,"Amino Acids, Peptides, and Proteins|Genito Urinary System and Sex Hormones|Gonadotropins|Gonadotropins and Antigonadotropins|Gonadotropins, Pituitary"
DB00095,Efalizumab,biotech,Humanized IgG1 kappa isotype monoclonal antibody that binds to human CD11a. Efalizumab has a molecular weight of approximately 150 kilodaltons and is produced in a Chinese hamster ovary mammalian cell expression system in a nutrient medium containing the antibiotic gentamicin. The FDA approved efalizumab in 2003. It was later withdrawn in 2009 due to a potential risk of progressive multifocal leukoencephalopathy (PML).[L43797],"For the treatment of adult patients with moderate to severe chronic plaque psoriasis, who are candidates for phototherapy or systemic therapy.",L04AG02,"Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antibodies, Monoclonal, Humanized|Antigens, CD11"
DB00097,Choriogonadotropin alfa,biotech,"Recombinant human chorionic gonadotropin with 2 subunits, alpha = 92 residues, beta = 145 residues, each with N-and O-linked carbohydrate moieties linked to ASN-52 and ASN-78 (on alpha subunit) and ASN-13, ASN-30, SER-121, SER-127, SER-132 and SER-138 (on beta subunit). The primary structure of the alpha-chain of r-hCG is identical to that of the alpha-chain of hCG, FSH and LH.",For the treatment of female infertility,G03GA08,Genito Urinary System and Sex Hormones|Gonadotropins|Gonadotropins and Antigonadotropins|Sex Hormones and Modulators of the Genital System
DB00098,Antithymocyte immunoglobulin (rabbit),biotech,Rabbit anti-thymocyte globulin. Thymoglobulin is a polyclonal antibody that suppresses certain types of immune cells responsible for acute organ rejection in transplant patients. Thymoglobulin is a mixture of antibodies intended to bind to various cell surface antigens. The most common mode of action of Thymoglobulin is via selective depletion of T-cells.,For prevention of renal transplant rejection,L04AA04,"Amino Acids, Peptides, and Proteins|Antibodies|Antibody-Surface Protein Interactions|Antineoplastic and Immunomodulating Agents|Biological Products"
DB00099,Filgrastim,biotech,"Filgrastim is a short-acting recombinant, non-pegylated human granulocyte colony-stimulating factor (G-CSF) analog produced by recombinant DNA technology. It has an amino acid sequence identical to endogenous G-CSF, but it is non-glycosylated unlike the endogenous G-CSF and has an N-terminal methionine added in the sequence for expression in _E. Coli_.[L40714] Human G-CSF is a glycoprotein that regulates the production and release of neutrophils from the bone marrow. Filgrastim mimics the biolog","Filgrastim is indicated to decrease the incidence of infection‚ as manifested by febrile neutropenia‚ in patients with nonmyeloid malignancies receiving myelosuppressive anti-cancer drugs associated with a significant incidence of severe neutropenia with fever.[L40714]

Filgrastim is indicated for reducing the time to neutrophil recovery and the duration of fever, following induction or consolidation chemotherapy treatment of patients with acute myeloid leukemia.[L40714]

Filgrastim is indic",L03AA02,"Amino Acids, Peptides, and Proteins|Antineoplastic and Immunomodulating Agents|Biological Factors|Colony-Stimulating Factors|Glycoconjugates"
DB00100,Coagulation Factor IX (Recombinant),biotech,"Recombinant Coagulation Factor IX is a purified Factor IX glycoprotein produced by recombinant DNA technology. It has a primary amino acid sequence that is identical to the Ala148 allelic form of human factor IX, and has structural and functional characteristics similar to those of endogenous factor IX. It is not derived from human blood (unlike human Factor IX complex), and is instead produced by a genetically engineered Chinese hamster ovary (CHO) cell line that secretes recombinant Factor IX ",For treatment of hemophilia (Christmas disease).,,Blood Coagulation Factors|Hemostatics|Increased Coagulation Activity
DB00102,Becaplermin,biotech,"Becaplermin is produced by recombinant DNA technology by insertion of the gene for the B chain of platelet derived growth factor (PDGF) into the yeast, Saccharomyces cerevisiae. Becaplermin has a molecular weight of approximately 25 KD and is a homodimer composed of two identical polypeptide chains that are bound together by disulfide bonds.",For topical treatment of skin ulcers (from diabetes),D03AX06|A01AD08,"Acids|Acids, Noncarboxylic|Alimentary Tract and Metabolism|Amino Acids, Peptides, and Proteins|Angiogenesis Inducing Agents"
DB00103,Agalsidase beta,biotech,"Agalsidase beta is a recombinant human α-galactosidase A similar to [agalsidase alfa]. While patients generally do not experience a clinically significant difference in outcomes between the two drugs, some patients may experience greater benefit with agalsidase beta.[A220228,A220233] Use of agalsidase beta has decreased in Europe, in favor of agalsidase alfa, after a contamination event in 2009.[A220343]

Agalsidase beta was granted FDA approval on 24 April 2003.[L16383]",Agalsidase beta is indicated in the treatment of Fabry disease.[L16383],A16AB04,"Alimentary Tract and Metabolism|Amino Acids, Peptides, and Proteins|Enzymes|Enzymes and Coenzymes|Galactosidases"
DB00104,Octreotide,biotech,"Acromegaly is a disorder caused by excess growth hormone (GH), increasing the growth of body tissues and causing metabolic dysfunction.[L14501] In most cases, it results from an anterior pituitary growth hormone-releasing tumor. Typically, the feet, hands, and face grow abnormally large; organomegaly and insulin resistance may also occur. Acromegaly is a life-threatening disease requiring life-long management.[L14501]

Octreotide is a long-acting drug with pharmacologic activities that mimic t","Octreotide by injection is used for the treatment of acromegaly and the reduction of flushing and diarrhea symptoms related to carcinoid tumors and/or vasoactive intestinal peptide (VIPoma) tumors.[L14513] The delayed-release oral formulation is used for the long-term treatment of acromegaly in patients who tolerate and respond adequately to injectable octreotide and [lanreotide].[L14507,L45528]",H01CB02,"Amino Acids, Peptides, and Proteins|Antineoplastic Agents|Antineoplastic Agents, Hormonal|Bradycardia-Causing Agents|Cytochrome P-450 CYP3A Inhibitors"
DB00105,Interferon alfa-2b,biotech,Interferon alpha 2b (human leukocyte clone hif-sn 206 protein moiety reduced). A type I interferon consisting of 165 amino acid residues with arginine in position 23. This protein is produced by recombinant DNA technology and resembles interferon secreted by leukocytes. It is used extensively as an antiviral or antineoplastic agent.,"For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma.",L03AB05,"Adjuvants, Immunologic|Alfa Interferons|Amino Acids, Peptides, and Proteins|Anti-Infective Agents|Antineoplastic Agents"
DB00106,Abarelix,small molecule,Synthetic decapeptide antagonist to gonadotropin releasing hormone (GnRH). It is marketed by Praecis Pharmaceuticals as Plenaxis. Praecis announced in June 2006 that it was voluntarily withdrawing the drug from the market.,For palliative treatment of advanced prostate cancer.,L02BX01,"Amino Acids, Peptides, and Proteins|Antineoplastic and Immunomodulating Agents|Endocrine Therapy|Hormone Antagonists|Hormone Antagonists and Related Agents"
DB00107,Oxytocin,biotech,"Sir Henry H. Dale first identified oxytocin and its uterine contractile properties in 1906.[A229008,A228593,A229108] Like all other neurohypophysial hormones, oxytocin is composed of nine amino acids with a disulfide bridge between the Cys 1 and 6 residues.[A229008,A228593] In the mid-1950s, synthetic oxytocin was successfully synthesized by a biochemist named Vincent du Vigneaud; he was later recognized with a Nobel prize for his work.[A229108] Oxytocin continues to be an important tool in mode","Administration of exogenous oxytocin is indicated in the antepartum period to initiate or improve uterine contractions for vaginal delivery in situations where there is fetal or maternal concern.[L31433] For example, It may be used to induce labor in cases of Rh sensitization, maternal diabetes, preeclampsia at or near term, and when delivery is indicated due to prematurely ruptured membranes.[A229018,L31433] Importantly, oxytocin is not approved or indicated for elective induction of labor. Oxy",G02AC01|H01BB02,"Amino Acids, Peptides, and Proteins|Genito Urinary System and Sex Hormones|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Increased Uterine Smooth Muscle Contraction or Tone"
DB00108,Natalizumab,biotech,"Natalizumab is a recombinant humanized IgG4κ monoclonal antibody that binds to α4-integrin.[L48041] While natalizumab was originally approved by the FDA to treat multiple sclerosis in 2004, it was withdrawn from the market following multiple reports of fatal progressive multifocal leukoencephalopathy (PML). In 2006, the FDA reintroduced the drug to the market for multiple sclerosis.[A261326] Natalizumab was further approved by the FDA for the treatment of Crohn's Disease in January 2008.[A261331","Natalizumab is indicated as monotherapy for the treatment of relapsing forms of multiple sclerosis, including clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease in adults.[L48031, L48036, L49096] 

It is also indicated for inducing and maintaining clinical response and remission in adult patients with moderately to severely active Crohn’s disease with evidence of inflammation who have had an inadequate response to or are unable to tolerate, conv",L04AG03,"Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antibodies, Monoclonal, Humanized|Antineoplastic and Immunomodulating Agents"
DB00109,Enfuvirtide,biotech,"Enfuvirtide is a 36 amino acid biomimetic peptide that is structurally similar to the HIV proteins that are responsible for the fusion of the virus to cell membranes and subsequent intracellular uptake. The first agent in the novel class of antiretroviral drugs called HIV fusion inhibitors, enfuvirtide works by inhibiting HIV-1 fusion with CD4 cells.",Enfuvirtide is an antiretroviral drug used in combination therapy for the treatment of HIV-1/AIDS.,J05AX07,"Amino Acids, Peptides, and Proteins|Anti-HIV Agents|Anti-Infective Agents|Anti-Retroviral Agents|Antigens"
DB00110,Palivizumab,biotech,"Humanized monoclonal antibody (IgG1k) produced by recombinant DNA technology, directed to an epitope in the A antigenic site of the F protein of respiratory syncytial virus (RSV). Synagis is a composite of human (95%) and murine (5%) antibody sequences. The human heavy chain sequence was derived from the constant domains of human IgG1 and the variable framework regions of the VH genes Cor (1) and Cess (2). The human lightchain sequence was derived from the constant domain of Ck and the variable ",For prophylaxis of respiratory diseases casued by respiratory syncytial virus.,J06BD01,"Amino Acids, Peptides, and Proteins|Anti-Infective Agents|Antibodies|Antibodies, Monoclonal|Antibodies, Monoclonal, Humanized"
DB00111,Daclizumab,biotech,"Humanized IgG1 Mab that binds to the human interleukin-2 receptor (anti-Tac or anti-CD25). Daclizumab is a composite of human (90%) and murine (10%) antibody sequences. The human sequences were derived from the constant domains of human IgG1 and the variable framework regions of the Eu myeloma antibody. The murine sequences were derived from the complementarity-determining regions of a murine anti-Tac antibody.

On 22 April 2008, Roche Registration Limited chose to voluntarily withdraw the mar",Zenapax is a humanized monoclonal antibody used for prevention of renal transplant rejection,L04AC01,"Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antibodies, Monoclonal, Humanized|Antineoplastic and Immunomodulating Agents"
DB00112,Bevacizumab,biotech,"There is a great deal of evidence indicating that vascular endothelial growth factor (VEGF) is important for the survival and proliferation of cancer cells.[A192939,A192837,A192891,A193275] VEGF plays an important role in angiogenesis, lymphangiogenesis, and tumor growth, which are all factors that contribute to its attractiveness as a therapeutic target for anti-cancer therapies.[A192834,A192888,A192837,A192891,A192894] 

In 2004, bevacizumab (Avastin) gained FDA approval for specific types o","As a vascular endothelial growth factor (VEGF) inhibitor, bevacizumab is used in several chemotherapy regimens to treat metastatic colorectal cancer; metastatic, unresectable, locally advanced or recurrent non-squamous non-small cell lung cancer; metastatic renal cell carcinoma; metastatic, persistent, or recurrent cervical cancer; primary peritoneal cancer; epithelial ovarian cancer; fallopian tube cancer; breast cancer; and recurrent glioblastoma.[L12648,L39233,L41514,L43130,L43302,L49826]

",L01FG01|S01LA08,"Amino Acids, Peptides, and Proteins|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Antibodies|Antibodies, Monoclonal"
DB00113,Technetium Tc-99m arcitumomab,biotech,"Reduced Fab fragment of the murine IgG1 monoclonal antibody IMMU-4 (also called NP-4) with specificity for carcinoembryonic antigen (CEA) covalently labeled with Technitium 99. The molecule has a molecular weight of ~54,000 Daltons.",For imaging colorectal tumors,V09IA06,"Amino Acids, Peptides, and Proteins|Antibodies|Blood Proteins|Diagnostic Radiopharmaceuticals|Globulins"
DB00114,Pyridoxal phosphate,small molecule,"This is the active form of vitamin B6 serving as a coenzyme for synthesis of amino acids, neurotransmitters (serotonin, norepinephrine), sphingolipids, aminolevulinic acid. During transamination of amino acids, pyridoxal phosphate is transiently converted into pyridoxamine phosphate (pyridoxamine).",For nutritional supplementation and for treating dietary shortage or imbalance.,A11HA06,Alimentary Tract and Metabolism|Coenzymes|Dietary Supplements|Enzymes and Coenzymes|Food
DB00115,Cyanocobalamin,small molecule,"Cyanocobalamin (commonly known as Vitamin B12) is a highly complex, essential vitamin, owing its name to the fact that it contains the mineral, cobalt. This vitamin is produced naturally by bacteria [A175276], and is necessary for DNA synthesis and cellular energy production. Vitamin B12 has many forms, including the cyano-, methyl-, deoxyadenosyl- and hydroxy-cobalamin forms. The _cyano_ form, is the most widely used form in supplements and prescription drugs [A175255], [FDA label].  Several ph","
**Nasal spray**

The cyanocobalamin nasal spray is indicated for the maintenance of vitamin B12 concentrations after normalization with intramuscular vitamin B12 therapy in patients with deficiency of this vitamin who have no nervous system involvement [FDA label].

Note:  CaloMist [FDA label], the nasal spray form, has not been evaluated for the treatment of newly diagnosed vitamin B12 deficiency.

**Injection forms (subcutaneous, intramuscular)**

These forms are indicated for vitami",B03BA01|B03AE01|B03BA51,"Antianemic Preparations|Blood and Blood Forming Organs|Corrinoids|Diet, Food, and Nutrition|Drugs that are Mainly Renally Excreted"
DB00116,Tetrahydrofolic acid,small molecule,"Tetrahydrofolic acid is a folic acid derivative that is produced from dihydrofolic acid after conversion by dihydrofolate reductase. It is converted into 5,10-methylenetetrahydrofolate by serine hydroxymethyltransferase. It is a soluble coenzyme in many reactions, especially in the metabolism of amino acids and nucleic acids.","For nutritional supplementation, also for treating dietary shortage or imbalance.",,"Coenzymes|Dietary Supplements|Enzymes and Coenzymes|Folic Acid and Derivatives|Heterocyclic Compounds, Fused-Ring"
